%% flowcalc run at Thu Jun  2 13:15:35 2016
% modules: coral 

@relation 'Capture_02_06_2016.pcap'

%% flowcalc 0.2
% fc_id:       flow id
% fc_tstamp:   timestamp of first packet in the flow
% fc_duration: flow duration
% fc_proto:    transport protocol
% fc_src_addr: IP address of connection initiator
% fc_src_port: TP port number of connection initiator
% fc_dst_addr: IP address of remote peer
% fc_dst_port: TP port number of remote peer

@attribute fc_id numeric
@attribute fc_tstamp numeric
@attribute fc_duration numeric
@attribute fc_proto {TCP,UDP}
@attribute fc_src_addr string
@attribute fc_src_port numeric
@attribute fc_dst_addr string
@attribute fc_dst_port numeric

%% coral 0.1
% crl_group: protocol group
% crl_name: protocol name
@attribute crl_group string
@attribute class {HTTPS, HTTP, DNS}

@data
24,1464864016.030923,4.578807,TCP,10.0.2.15,54398,173.252.74.22,443,WWW,HTTPS
121,1464864029.336666,2.594976,TCP,10.0.2.15,59872,31.13.74.7,443,WWW,HTTPS
58,1464864026.693960,5.327562,TCP,10.0.2.15,59218,173.252.74.68,443,WWW,HTTPS
5,1464864010.662968,0.141271,TCP,10.0.2.15,48646,74.125.24.103,443,WWW,HTTPS
86,1464864027.706150,0.115139,TCP,10.0.2.15,59592,95.131.136.68,80,WWW,HTTP
63,1464864027.042835,1.316904,TCP,10.0.2.15,54406,173.252.74.22,443,WWW,HTTPS
107,1464864028.585781,0.182459,TCP,10.0.2.15,50558,80.82.201.80,80,WWW,HTTP
158,1464864029.445391,0.386120,TCP,10.0.2.15,37758,95.172.94.25,80,WWW,HTTP
141,1464864029.400856,0.431615,TCP,10.0.2.15,50578,80.82.201.80,80,WWW,HTTP
191,1464864030.018191,0.539616,TCP,10.0.2.15,52548,80.82.201.94,80,WWW,HTTP
194,1464864030.089667,0.473063,TCP,10.0.2.15,42090,74.217.253.90,80,WWW,HTTP
189,1464864030.018012,0.544739,TCP,10.0.2.15,50610,80.82.201.80,80,WWW,HTTP
214,1464864031.017922,0.393801,TCP,10.0.2.15,38488,95.131.143.205,80,WWW,HTTP
211,1464864031.007900,0.409811,TCP,10.0.2.15,44170,195.54.48.9,80,WWW,HTTP
225,1464864031.417652,0.102082,TCP,10.0.2.15,38256,62.161.94.220,80,WWW,HTTP
229,1464864031.574289,0.094100,TCP,10.0.2.15,51092,195.54.48.228,80,WWW,HTTP
235,1464864031.598016,0.229887,TCP,10.0.2.15,44186,195.54.48.9,80,WWW,HTTP
59,1464864026.699675,5.136205,TCP,10.0.2.15,59568,95.131.136.68,80,WWW,HTTP
253,1464864031.925028,0.136582,TCP,10.0.2.15,42194,95.172.94.23,80,WWW,HTTP
247,1464864031.917786,0.149205,TCP,10.0.2.15,48680,92.243.23.167,80,WWW,HTTP
213,1464864031.017842,2.038634,TCP,10.0.2.15,38486,95.131.143.205,80,WWW,HTTP
289,1464864033.197098,0.266402,TCP,10.0.2.15,51128,195.54.48.228,80,WWW,HTTP
290,1464864033.197289,0.278435,TCP,10.0.2.15,51130,195.54.48.228,80,WWW,HTTP
291,1464864033.197401,0.278367,TCP,10.0.2.15,51132,195.54.48.228,80,WWW,HTTP
292,1464864033.197514,0.278267,TCP,10.0.2.15,51134,195.54.48.228,80,WWW,HTTP
212,1464864031.017699,2.460995,TCP,10.0.2.15,44172,195.54.48.9,80,WWW,HTTP
295,1464864033.197851,0.353111,TCP,10.0.2.15,51140,195.54.48.228,80,WWW,HTTP
294,1464864033.197776,0.359041,TCP,10.0.2.15,51138,195.54.48.228,80,WWW,HTTP
293,1464864033.197695,0.359141,TCP,10.0.2.15,51136,195.54.48.228,80,WWW,HTTP
300,1464864033.557880,0.205876,TCP,10.0.2.15,51144,195.54.48.228,80,WWW,HTTP
301,1464864033.557989,0.211870,TCP,10.0.2.15,51146,195.54.48.228,80,WWW,HTTP
302,1464864033.558083,0.211792,TCP,10.0.2.15,51148,195.54.48.228,80,WWW,HTTP
303,1464864033.558179,0.211698,TCP,10.0.2.15,51150,195.54.48.228,80,WWW,HTTP
299,1464864033.557033,0.226210,TCP,10.0.2.15,51142,195.54.48.228,80,WWW,HTTP
114,1464864028.737013,5.157018,TCP,10.0.2.15,43102,104.69.123.166,80,WWW,HTTP
93,1464864028.115947,5.792297,TCP,10.0.2.15,59844,95.131.136.68,443,WWW,HTTPS
111,1464864028.637833,5.285900,TCP,10.0.2.15,50560,80.82.201.80,80,WWW,HTTP
74,1464864027.384316,6.608258,TCP,10.0.2.15,59574,95.131.136.68,80,WWW,HTTP
77,1464864027.384767,6.607821,TCP,10.0.2.15,59580,95.131.136.68,80,WWW,HTTP
271,1464864032.369992,1.839618,TCP,10.0.2.15,41382,217.79.180.36,80,WWW,HTTP
313,1464864034.137623,0.119887,TCP,10.0.2.15,52656,80.82.201.94,80,WWW,HTTP
116,1464864029.134359,5.134877,TCP,10.0.2.15,59610,95.131.136.68,80,WWW,HTTP
198,1464864030.457093,4.155192,TCP,10.0.2.15,43648,108.161.189.160,80,WWW,HTTP
304,1464864033.558416,1.212169,TCP,10.0.2.15,33126,23.38.219.170,80,WWW,HTTP
134,1464864029.371500,5.509508,TCP,10.0.2.15,50446,193.1.253.145,80,WWW,HTTP
157,1464864029.445316,5.453297,TCP,10.0.2.15,37756,95.172.94.25,80,WWW,HTTP
151,1464864029.444801,5.453858,TCP,10.0.2.15,49352,178.250.2.74,80,WWW,HTTP
117,1464864029.163815,5.743585,TCP,10.0.2.15,59612,95.131.136.68,80,WWW,HTTP
142,1464864029.411985,5.511867,TCP,10.0.2.15,50580,80.82.201.80,80,WWW,HTTP
115,1464864029.134225,6.035049,TCP,10.0.2.15,59608,95.131.136.68,80,WWW,HTTP
78,1464864027.384858,8.208654,TCP,10.0.2.15,59582,95.131.136.68,80,WWW,HTTP
76,1464864027.384689,8.209724,TCP,10.0.2.15,59578,95.131.136.68,80,WWW,HTTP
75,1464864027.384488,8.210451,TCP,10.0.2.15,59576,95.131.136.68,80,WWW,HTTP
317,1464864035.594832,0.073863,TCP,10.0.2.15,55622,193.1.253.139,80,WWW,HTTP
73,1464864027.384197,8.336301,TCP,10.0.2.15,59572,95.131.136.68,80,WWW,HTTP
186,1464864030.017783,5.864022,TCP,10.0.2.15,53288,54.192.30.248,80,WWW,HTTP
200,1464864030.563223,5.318621,TCP,10.0.2.15,55524,193.1.253.139,80,WWW,HTTP
187,1464864030.017864,5.881454,TCP,10.0.2.15,34026,37.252.163.241,80,WWW,HTTP
188,1464864030.017935,5.906400,TCP,10.0.2.15,52542,80.82.201.94,80,WWW,HTTP
185,1464864030.017655,5.954967,TCP,10.0.2.15,51782,50.17.240.19,80,WWW,HTTP
160,1464864029.555829,6.595632,TCP,10.0.2.15,33714,95.142.164.50,80,WWW,HTTP
349,1464864036.169044,0.016650,TCP,10.0.2.15,55650,193.1.253.139,80,WWW,HTTP
341,1464864036.078761,0.144088,TCP,10.0.2.15,41700,93.184.221.200,80,WWW,HTTP
333,1464864036.057201,0.174410,TCP,10.0.2.15,34156,37.252.163.241,80,WWW,HTTP
348,1464864036.168786,0.266073,TCP,10.0.2.15,34170,37.252.163.241,80,WWW,HTTP
240,1464864031.637272,5.261799,TCP,10.0.2.15,45620,178.250.2.80,80,WWW,HTTP
238,1464864031.633871,5.273827,TCP,10.0.2.15,44188,195.54.48.9,80,WWW,HTTP
224,1464864031.417553,5.515709,TCP,10.0.2.15,38254,62.161.94.220,80,WWW,HTTP
79,1464864027.386421,9.625020,TCP,10.0.2.15,45018,185.86.137.17,80,WWW,HTTP
354,1464864037.020846,0.113750,TCP,10.0.2.15,53024,193.1.253.137,80,WWW,HTTP
359,1464864037.059885,0.250622,TCP,10.0.2.15,57554,96.6.2.194,80,WWW,HTTP
360,1464864037.060085,0.497071,TCP,10.0.2.15,57556,96.6.2.194,80,WWW,HTTP
